Time, Data
0:0:3:889, 2600 
0:0:3:904, 2433 
0:0:3:920, 2306 
0:0:3:936, 2164 
0:0:3:951, 2096 
0:0:3:967, 2032 
0:0:3:983, 2009 
0:0:3:998, 2020 
0:0:4:14, 2055 
0:0:4:29, 2102 
0:0:4:44, 2153 
0:0:4:59, 2176 
0:0:4:75, 2177 
0:0:4:91, 2155 
0:0:4:106, 2104 
0:0:4:122, 2050 
0:0:4:138, 1975 
0:0:4:154, 1926 
0:0:4:170, 1861 
0:0:4:186, 1783 
0:0:4:201, 1728 
0:0:4:216, 1679 
0:0:4:231, 1635 
0:0:4:246, 1595 
0:0:4:261, 1559 
0:0:4:276, 1525 
0:0:4:291, 1494 
0:0:4:307, 1465 
0:0:4:322, 1439 
0:0:4:338, 1423 
0:0:4:354, 1416 
0:0:4:370, 1464 
0:0:4:386, 1633 
0:0:4:401, 1932 
0:0:4:416, 2385 
0:0:4:432, 2702 
0:0:4:448, 2965 
0:0:4:464, 3060 
0:0:4:480, 3060 
0:0:4:495, 2993 
0:0:4:511, 2861 
0:0:4:527, 2738 
0:0:4:543, 2577 
0:0:4:559, 2417 
0:0:4:575, 2322 
0:0:4:591, 2175 
0:0:4:606, 2077 
0:0:4:622, 1994 
0:0:4:638, 1966 
0:0:4:654, 1978 
0:0:4:670, 2024 
0:0:4:686, 2067 
0:0:4:701, 2105 
0:0:4:717, 2114 
0:0:4:732, 2101 
0:0:4:747, 2069 
0:0:4:763, 2024 
0:0:4:779, 1983 
0:0:4:795, 1922 
0:0:4:810, 1841 
0:0:4:826, 1793 
0:0:4:841, 1733 
0:0:4:857, 1679 
0:0:4:873, 1619 
0:0:4:889, 1578 
0:0:4:905, 1532 
0:0:4:920, 1501 
0:0:4:935, 1476 
0:0:4:951, 1453 
0:0:4:966, 1441 
0:0:4:981, 1436 
0:0:4:997, 1431 
0:0:5:12, 1427 
0:0:5:27, 1426 
0:0:5:43, 1432 
0:0:5:59, 1476 
0:0:5:75, 1682 
0:0:5:90, 1989 
0:0:5:106, 2355 
0:0:5:122, 2762 
0:0:5:138, 3030 
0:0:5:153, 3115 
0:0:5:169, 3148 
0:0:5:184, 3123 
0:0:5:199, 3043 
0:0:5:214, 2931 
0:0:5:229, 2808 
0:0:5:245, 2651 
0:0:5:261, 2529 
0:0:5:276, 2384 
0:0:5:291, 2278 
0:0:5:307, 2191 
0:0:5:323, 2127 
0:0:5:339, 2094 
0:0:5:354, 2092 
0:0:5:370, 2118 
0:0:5:386, 2158 
0:0:5:402, 2197 
0:0:5:418, 2227 
0:0:5:433, 2227 
0:0:5:448, 2208 
0:0:5:464, 2161 
0:0:5:480, 2111 
0:0:5:496, 2039 
0:0:5:512, 1978 
0:0:5:527, 1917 
0:0:5:543, 1843 
0:0:5:559, 1788 
0:0:5:574, 1737 
0:0:5:590, 1678 
0:0:5:606, 1646 
0:0:5:622, 1600 
0:0:5:638, 1569 
0:0:5:654, 1537 
0:0:5:669, 1515 
0:0:5:684, 1496 
0:0:5:699, 1479 
0:0:5:715, 1468 
0:0:5:731, 1456 
0:0:5:747, 1447 
0:0:5:763, 1436 
0:0:5:778, 1427 
0:0:5:793, 1431 
0:0:5:808, 1466 
0:0:5:824, 1611 
0:0:5:840, 1734 
0:0:5:856, 2150 
0:0:5:872, 2503 
0:0:5:888, 2852 
0:0:5:903, 3022 
0:0:5:918, 3095 
0:0:5:934, 3065 
0:0:5:950, 2955 
0:0:5:966, 2836 
0:0:5:982, 2709 
0:0:5:998, 2551 
0:0:6:14, 2459 
0:0:6:30, 2342 
0:0:6:46, 2234 
0:0:6:62, 2141 
0:0:6:78, 2055 
0:0:6:94, 2020 
0:0:6:109, 2029 
0:0:6:125, 2072 
0:0:6:140, 2117 
0:0:6:155, 2153 
0:0:6:170, 2173 
0:0:6:186, 2171 
0:0:6:203, 2149 
0:0:6:219, 2121 
0:0:6:234, 2073 
0:0:6:249, 2017 
0:0:6:264, 1941 
0:0:6:280, 1878 
0:0:6:296, 1801 
0:0:6:312, 1728 
0:0:6:328, 1699 
0:0:6:344, 1635 
0:0:6:360, 1590 
0:0:6:375, 1549 
0:0:6:390, 1514 
0:0:6:406, 1478 
0:0:6:422, 1455 
0:0:6:437, 1439 
0:0:6:453, 1418 
0:0:6:469, 1402 
0:0:6:485, 1393 
0:0:6:501, 1384 
0:0:6:517, 1379 
0:0:6:533, 1373 
0:0:6:549, 1367 
0:0:6:565, 1360 
0:0:6:581, 1364 
0:0:6:596, 1414 
0:0:6:611, 1640 
0:0:6:626, 1876 
0:0:6:642, 2155 
0:0:6:658, 2520 
0:0:6:673, 2810 
0:0:6:688, 3001 
0:0:6:704, 3076 
0:0:6:720, 3045 
0:0:6:736, 2932 
0:0:6:752, 2809 
0:0:6:768, 2677 
0:0:6:784, 2577 
0:0:6:800, 2447 
0:0:6:815, 2321 
0:0:6:831, 2260 
0:0:6:846, 2203 
0:0:6:861, 2099 
0:0:6:877, 2016 
0:0:6:893, 1957 
0:0:6:909, 1957 
0:0:6:925, 1993 
0:0:6:941, 2059 
0:0:6:957, 2110 
0:0:6:973, 2151 
0:0:6:988, 2160 
0:0:7:4, 2149 
0:0:7:20, 2116 
0:0:7:36, 2082 
0:0:7:52, 2011 
0:0:7:68, 1951 
0:0:7:83, 1889 
0:0:7:98, 1827 
0:0:7:114, 1768 
0:0:7:130, 1697 
0:0:7:146, 1633 
0:0:7:162, 1587 
0:0:7:178, 1537 
0:0:7:194, 1495 
0:0:7:209, 1468 
0:0:7:225, 1445 
0:0:7:241, 1426 
0:0:7:256, 1410 
0:0:7:271, 1395 
0:0:7:287, 1379 
0:0:7:303, 1369 
0:0:7:319, 1359 
0:0:7:334, 1352 
0:0:7:349, 1344 
0:0:7:364, 1346 
0:0:7:380, 1399 
0:0:7:395, 1573 
0:0:7:411, 1886 
0:0:7:426, 2268 
0:0:7:442, 2619 
0:0:7:457, 2823 
0:0:7:473, 3021 
0:0:7:488, 3063 
0:0:7:503, 3026 
0:0:7:518, 2903 
0:0:7:534, 2772 
0:0:7:549, 2629 
0:0:7:564, 2451 
0:0:7:580, 2314 
0:0:7:595, 2157 
0:0:7:611, 2044 
0:0:7:627, 1931 
0:0:7:642, 1876 
0:0:7:658, 1859 
0:0:7:674, 1880 
0:0:7:690, 1944 
0:0:7:705, 2005 
0:0:7:721, 2068 
0:0:7:737, 2094 
0:0:7:753, 2092 
0:0:7:769, 2063 
0:0:7:784, 2020 
0:0:7:799, 1951 
0:0:7:814, 1889 
0:0:7:830, 1841 
0:0:7:846, 1779 
0:0:7:862, 1719 
0:0:7:878, 1662 
0:0:7:894, 1610 
0:0:7:910, 1553 
0:0:7:926, 1514 
0:0:7:942, 1474 
0:0:7:958, 1446 
0:0:7:974, 1416 
0:0:7:990, 1397 
0:0:8:5, 1376 
0:0:8:20, 1366 
0:0:8:35, 1355 
0:0:8:51, 1345 
0:0:8:67, 1338 
0:0:8:83, 1334 
0:0:8:99, 1329 
0:0:8:115, 1323 
0:0:8:130, 1321 
0:0:8:145, 1348 
0:0:8:161, 1472 
0:0:8:177, 1846 
0:0:8:193, 2258 
0:0:8:209, 2739 
0:0:8:224, 3010 
0:0:8:240, 3174 
0:0:8:255, 3191 
0:0:8:270, 3122 
0:0:8:285, 3039 
0:0:8:301, 2907 
0:0:8:317, 2763 
0:0:8:333, 2654 
0:0:8:349, 2514 
0:0:8:364, 2381 
0:0:8:380, 2257 
0:0:8:396, 2124 
0:0:8:411, 2040 
0:0:8:427, 1979 
0:0:8:442, 1975 
0:0:8:457, 2006 
0:0:8:473, 2075 
0:0:8:488, 2119 
0:0:8:504, 2167 
0:0:8:520, 2195 
0:0:8:536, 2188 
0:0:8:552, 2145 
0:0:8:568, 2090 
0:0:8:584, 2006 
0:0:8:600, 1935 
0:0:8:615, 1848 
0:0:8:631, 1782 
0:0:8:647, 1704 
0:0:8:663, 1645 
0:0:8:679, 1579 
0:0:8:695, 1543 
0:0:8:711, 1501 
0:0:8:726, 1464 
0:0:8:741, 1433 
0:0:8:757, 1401 
0:0:8:773, 1380 
0:0:8:789, 1362 
0:0:8:805, 1343 
0:0:8:821, 1333 
0:0:8:837, 1330 
0:0:8:853, 1319 
0:0:8:869, 1307 
0:0:8:884, 1291 
