Time, Data
0:0:3:819, 2316 
0:0:3:835, 2275 
0:0:3:851, 2263 
0:0:3:866, 2263 
0:0:3:882, 2271 
0:0:3:898, 2276 
0:0:3:913, 2276 
0:0:3:928, 2264 
0:0:3:944, 2237 
0:0:3:960, 2203 
0:0:3:975, 2159 
0:0:3:991, 2113 
0:0:4:7, 2055 
0:0:4:23, 1975 
0:0:4:39, 1913 
0:0:4:55, 1832 
0:0:4:71, 1763 
0:0:4:87, 1697 
0:0:4:102, 1652 
0:0:4:117, 1611 
0:0:4:133, 1557 
0:0:4:149, 1509 
0:0:4:165, 1472 
0:0:4:180, 1436 
0:0:4:196, 1412 
0:0:4:212, 1385 
0:0:4:228, 1368 
0:0:4:244, 1347 
0:0:4:260, 1327 
0:0:4:275, 1309 
0:0:4:290, 1274 
0:0:4:305, 1259 
0:0:4:320, 1262 
0:0:4:335, 1332 
0:0:4:350, 1539 
0:0:4:366, 1984 
0:0:4:382, 2292 
0:0:4:398, 2756 
0:0:4:413, 3048 
0:0:4:428, 3200 
0:0:4:444, 3243 
0:0:4:459, 3209 
0:0:4:474, 3147 
0:0:4:490, 3071 
0:0:4:506, 2958 
0:0:4:522, 2888 
0:0:4:538, 2817 
0:0:4:553, 2739 
0:0:4:568, 2684 
0:0:4:584, 2600 
0:0:4:600, 2493 
0:0:4:616, 2391 
0:0:4:631, 2307 
0:0:4:646, 2262 
0:0:4:662, 2241 
0:0:4:678, 2243 
0:0:4:693, 2247 
0:0:4:709, 2246 
0:0:4:724, 2240 
0:0:4:740, 2223 
0:0:4:756, 2179 
0:0:4:772, 2133 
0:0:4:787, 2074 
0:0:4:802, 2009 
0:0:4:817, 1945 
0:0:4:833, 1857 
0:0:4:849, 1790 
0:0:4:865, 1700 
0:0:4:881, 1632 
0:0:4:897, 1576 
0:0:4:913, 1515 
0:0:4:928, 1476 
0:0:4:944, 1441 
0:0:4:960, 1409 
0:0:4:976, 1405 
0:0:4:992, 1400 
0:0:5:7, 1394 
0:0:5:22, 1387 
0:0:5:37, 1374 
0:0:5:53, 1346 
0:0:5:69, 1320 
0:0:5:85, 1288 
0:0:5:101, 1266 
0:0:5:117, 1244 
0:0:5:133, 1265 
0:0:5:148, 1381 
0:0:5:164, 1719 
0:0:5:180, 2099 
0:0:5:196, 2492 
0:0:5:211, 2823 
0:0:5:227, 3024 
0:0:5:243, 3176 
0:0:5:258, 3185 
0:0:5:273, 3135 
0:0:5:288, 3040 
0:0:5:303, 2948 
0:0:5:318, 2859 
0:0:5:334, 2789 
0:0:5:350, 2662 
0:0:5:366, 2584 
0:0:5:382, 2498 
0:0:5:398, 2411 
0:0:5:414, 2308 
0:0:5:429, 2246 
0:0:5:446, 2195 
0:0:5:462, 2159 
0:0:5:477, 2151 
0:0:5:492, 2155 
0:0:5:507, 2165 
0:0:5:523, 2172 
0:0:5:539, 2164 
0:0:5:554, 2148 
0:0:5:569, 2115 
0:0:5:584, 2078 
0:0:5:600, 2038 
0:0:5:616, 1976 
0:0:5:632, 1908 
0:0:5:648, 1818 
0:0:5:664, 1746 
0:0:5:680, 1683 
0:0:5:696, 1605 
0:0:5:712, 1541 
0:0:5:727, 1479 
0:0:5:742, 1437 
0:0:5:758, 1425 
0:0:5:774, 1395 
0:0:5:789, 1369 
0:0:5:805, 1344 
0:0:5:821, 1319 
0:0:5:836, 1300 
0:0:5:852, 1284 
0:0:5:868, 1274 
0:0:5:884, 1260 
0:0:5:900, 1254 
0:0:5:916, 1239 
0:0:5:932, 1225 
0:0:5:947, 1215 
0:0:5:961, 1206 
0:0:5:976, 1191 
0:0:5:992, 1175 
0:0:6:7, 1177 
0:0:6:22, 1189 
0:0:6:38, 1241 
0:0:6:53, 1425 
0:0:6:69, 1660 
0:0:6:85, 2059 
0:0:6:101, 2377 
0:0:6:117, 2744 
0:0:6:132, 2949 
0:0:6:148, 3077 
0:0:6:164, 3158 
0:0:6:179, 3187 
0:0:6:194, 3165 
0:0:6:209, 3134 
0:0:6:225, 3076 
0:0:6:241, 3029 
0:0:6:257, 2935 
0:0:6:273, 2861 
0:0:6:289, 2763 
0:0:6:304, 2709 
0:0:6:320, 2622 
0:0:6:335, 2534 
0:0:6:350, 2415 
0:0:6:366, 2326 
0:0:6:381, 2219 
0:0:6:397, 2163 
0:0:6:413, 2138 
0:0:6:428, 2118 
0:0:6:443, 2112 
0:0:6:459, 2111 
0:0:6:475, 2111 
0:0:6:491, 2129 
0:0:6:506, 2144 
0:0:6:521, 2151 
0:0:6:537, 2151 
0:0:6:552, 2154 
0:0:6:568, 2155 
0:0:6:584, 2157 
0:0:6:599, 2157 
0:0:6:615, 2157 
0:0:6:630, 2157 
0:0:6:646, 2154 
0:0:6:662, 2151 
0:0:6:677, 2129 
0:0:6:692, 2101 
0:0:6:708, 2072 
0:0:6:723, 2034 
0:0:6:738, 1986 
0:0:6:754, 1936 
0:0:6:769, 1867 
0:0:6:784, 1811 
0:0:6:800, 1740 
0:0:6:815, 1691 
0:0:6:830, 1642 
0:0:6:845, 1596 
0:0:6:861, 1558 
0:0:6:876, 1521 
0:0:6:892, 1472 
0:0:6:908, 1423 
0:0:6:922, 1391 
0:0:6:937, 1352 
0:0:6:953, 1325 
0:0:6:968, 1302 
0:0:6:984, 1281 
0:0:7:0, 1262 
0:0:7:15, 1240 
0:0:7:31, 1216 
0:0:7:47, 1197 
0:0:7:63, 1182 
0:0:7:78, 1174 
0:0:7:94, 1201 
0:0:7:110, 1317 
0:0:7:126, 1673 
0:0:7:141, 2071 
0:0:7:156, 2378 
0:0:7:172, 2735 
0:0:7:188, 3057 
0:0:7:204, 3156 
0:0:7:220, 3166 
0:0:7:236, 3113 
0:0:7:252, 3025 
0:0:7:268, 2947 
0:0:7:283, 2836 
0:0:7:299, 2717 
0:0:7:314, 2559 
0:0:7:329, 2430 
0:0:7:345, 2281 
0:0:7:361, 2169 
0:0:7:376, 2085 
0:0:7:391, 2046 
0:0:7:407, 2047 
0:0:7:423, 2075 
0:0:7:439, 2126 
0:0:7:455, 2145 
0:0:7:471, 2152 
0:0:7:488, 2149 
0:0:7:504, 2121 
0:0:7:519, 2075 
0:0:7:536, 2015 
0:0:7:551, 1927 
0:0:7:568, 1849 
0:0:7:583, 1756 
0:0:7:599, 1702 
0:0:7:614, 1627 
0:0:7:629, 1572 
0:0:7:645, 1488 
0:0:7:661, 1441 
0:0:7:677, 1386 
0:0:7:692, 1335 
0:0:7:708, 1282 
0:0:7:724, 1252 
0:0:7:740, 1229 
0:0:7:756, 1196 
0:0:7:772, 1177 
0:0:7:787, 1151 
0:0:7:803, 1134 
0:0:7:819, 1122 
0:0:7:835, 1113 
0:0:7:850, 1137 
0:0:7:865, 1211 
0:0:7:881, 1446 
0:0:7:897, 1841 
0:0:7:913, 2415 
0:0:7:929, 2733 
0:0:7:945, 3149 
0:0:7:961, 3300 
0:0:7:977, 3334 
0:0:7:992, 3287 
0:0:8:7, 3208 
0:0:8:22, 3114 
0:0:8:38, 2989 
0:0:8:54, 2868 
0:0:8:70, 2792 
0:0:8:85, 2683 
0:0:8:100, 2563 
0:0:8:115, 2420 
0:0:8:130, 2334 
0:0:8:146, 2280 
0:0:8:162, 2248 
0:0:8:177, 2251 
0:0:8:192, 2259 
0:0:8:208, 2270 
0:0:8:224, 2275 
0:0:8:240, 2255 
0:0:8:256, 2223 
0:0:8:272, 2189 
0:0:8:288, 2133 
0:0:8:304, 2055 
0:0:8:319, 1984 
0:0:8:334, 1914 
0:0:8:350, 1845 
0:0:8:366, 1753 
0:0:8:381, 1684 
0:0:8:396, 1618 
0:0:8:412, 1552 
0:0:8:428, 1483 
0:0:8:444, 1428 
0:0:8:459, 1375 
0:0:8:474, 1348 
0:0:8:490, 1321 
0:0:8:505, 1297 
0:0:8:520, 1269 
0:0:8:536, 1258 
0:0:8:551, 1239 
0:0:8:566, 1215 
0:0:8:581, 1186 
0:0:8:597, 1168 
0:0:8:613, 1196 
0:0:8:629, 1329 
0:0:8:645, 1623 
0:0:8:661, 2129 
0:0:8:677, 2438 
0:0:8:693, 2793 
0:0:8:709, 3114 
0:0:8:725, 3188 
0:0:8:741, 3210 
0:0:8:757, 3159 
0:0:8:773, 3075 
0:0:8:788, 2988 
0:0:8:803, 2892 
0:0:8:818, 2769 
0:0:8:834, 2673 
0:0:8:850, 2534 
0:0:8:866, 2422 
0:0:8:882, 2315 
0:0:8:898, 2224 
0:0:8:914, 2166 
0:0:8:930, 2132 
0:0:8:946, 2132 
0:0:8:962, 2149 
0:0:8:977, 2168 
0:0:8:992, 2175 
0:0:9:8, 1799 
0:0:9:23, 1729 
0:0:9:38, 1653 
0:0:9:54, 1561 
0:0:9:70, 1494 
0:0:9:86, 1444 
0:0:9:102, 1367 
0:0:9:117, 1327 
0:0:9:133, 1262 
0:0:9:149, 1226 
0:0:9:165, 1189 
0:0:9:180, 1165 
0:0:9:196, 1146 
0:0:9:211, 1129 
0:0:9:227, 1108 
0:0:9:243, 1092 
0:0:9:258, 1075 
0:0:9:273, 1056 
0:0:9:289, 1049 
0:0:9:305, 1059 
0:0:9:321, 1189 
0:0:9:337, 1466 
0:0:9:352, 1885 
0:0:9:367, 2455 
0:0:9:383, 2837 
0:0:9:399, 3069 
0:0:9:414, 3215 
0:0:9:430, 3239 
0:0:9:446, 3185 
0:0:9:462, 3074 
0:0:9:475, 2999 
0:0:9:492, 2871 
0:0:9:507, 2795 
0:0:9:522, 2694 
0:0:9:538, 2557 
0:0:9:554, 2434 
0:0:9:570, 2292 
0:0:9:586, 2203 
0:0:9:602, 2135 
0:0:9:618, 2124 
0:0:9:634, 2133 
0:0:9:650, 2149 
0:0:9:666, 2161 
0:0:9:681, 2156 
0:0:9:696, 2141 
0:0:9:712, 2128 
0:0:9:727, 2089 
0:0:9:742, 2041 
0:0:9:758, 2001 
0:0:9:774, 1918 
0:0:9:789, 1848 
0:0:9:805, 1773 
0:0:9:820, 1695 
0:0:9:836, 1604 
0:0:9:852, 1530 
0:0:9:868, 1444 
0:0:9:884, 1386 
0:0:9:900, 1318 
0:0:9:915, 1284 
0:0:9:930, 1245 
0:0:9:945, 1213 
0:0:9:960, 1191 
0:0:9:975, 1172 
0:0:9:990, 1150 
0:0:10:6, 1113 
0:0:10:21, 1062 
0:0:10:37, 1015 
0:0:10:52, 977 
0:0:10:68, 953 
0:0:10:83, 980 
0:0:10:99, 1121 
0:0:10:115, 1531 
0:0:10:131, 1863 
0:0:10:147, 2414 
0:0:10:163, 2765 
