Time, Data
0:0:3:817, 1984 
0:0:3:832, 1981 
0:0:3:847, 1989 
0:0:3:862, 2010 
0:0:3:877, 2036 
0:0:3:893, 2053 
0:0:3:909, 2067 
0:0:3:925, 2067 
0:0:3:941, 2062 
0:0:3:957, 2042 
0:0:3:972, 2003 
0:0:3:988, 1952 
0:0:4:3, 1897 
0:0:4:19, 1839 
0:0:4:34, 1781 
0:0:4:50, 1738 
0:0:4:65, 1686 
0:0:4:80, 1638 
0:0:4:95, 1594 
0:0:4:111, 1562 
0:0:4:127, 1540 
0:0:4:143, 1522 
0:0:4:158, 1501 
0:0:4:174, 1486 
0:0:4:190, 1481 
0:0:4:206, 1468 
0:0:4:221, 1461 
0:0:4:237, 1458 
0:0:4:253, 1460 
0:0:4:268, 1456 
0:0:4:284, 1451 
0:0:4:299, 1448 
0:0:4:314, 1449 
0:0:4:329, 1452 
0:0:4:345, 1449 
0:0:4:360, 1447 
0:0:4:375, 1451 
0:0:4:391, 1445 
0:0:4:407, 1442 
0:0:4:423, 1463 
0:0:4:439, 1545 
0:0:4:455, 1664 
0:0:4:471, 1837 
0:0:4:487, 2059 
0:0:4:502, 2312 
0:0:4:517, 2657 
0:0:4:533, 2900 
0:0:4:548, 3213 
0:0:4:564, 3343 
0:0:4:580, 3424 
0:0:4:595, 3414 
0:0:4:611, 3324 
0:0:4:626, 3189 
0:0:4:642, 3073 
0:0:4:658, 2911 
0:0:4:673, 2833 
0:0:4:689, 2724 
0:0:4:705, 2592 
0:0:4:720, 2468 
0:0:4:735, 2343 
0:0:4:751, 2228 
0:0:4:766, 2136 
0:0:4:781, 2071 
0:0:4:797, 2025 
0:0:4:813, 2008 
0:0:4:829, 2014 
0:0:4:845, 2037 
0:0:4:861, 2066 
0:0:4:877, 2092 
0:0:4:892, 2112 
0:0:4:908, 2121 
0:0:4:924, 2101 
0:0:4:940, 2058 
0:0:4:956, 2022 
0:0:4:972, 1965 
0:0:4:988, 1907 
0:0:5:3, 1844 
0:0:5:18, 1798 
0:0:5:34, 1742 
0:0:5:50, 1687 
0:0:5:65, 1640 
0:0:5:80, 1603 
0:0:5:96, 1578 
0:0:5:112, 1547 
