Time, Data
0:0:3:838, 3331 
0:0:3:853, 3372 
0:0:3:868, 3308 
0:0:3:883, 3203 
0:0:3:899, 3063 
0:0:3:915, 2885 
0:0:3:930, 2779 
0:0:3:945, 2640 
0:0:3:961, 2521 
0:0:3:977, 2415 
0:0:3:993, 2305 
0:0:4:8, 2261 
0:0:4:24, 2246 
0:0:4:40, 2271 
0:0:4:56, 2285 
0:0:4:72, 2279 
0:0:4:88, 2243 
0:0:4:104, 2167 
0:0:4:120, 2105 
0:0:4:136, 2066 
0:0:4:152, 2011 
0:0:4:167, 1971 
0:0:4:182, 1891 
0:0:4:197, 1823 
0:0:4:213, 1763 
0:0:4:229, 1733 
0:0:4:244, 1685 
0:0:4:259, 1626 
0:0:4:275, 1591 
0:0:4:290, 1567 
0:0:4:305, 1508 
0:0:4:321, 1477 
0:0:4:336, 1432 
0:0:4:351, 1401 
0:0:4:367, 1376 
0:0:4:382, 1345 
0:0:4:397, 1319 
0:0:4:413, 1305 
0:0:4:428, 1303 
0:0:4:443, 1370 
0:0:4:458, 1490 
0:0:4:474, 1750 
0:0:4:490, 2100 
0:0:4:506, 2548 
0:0:4:522, 2841 
0:0:4:538, 3070 
0:0:4:554, 3144 
0:0:4:570, 3147 
0:0:4:586, 3094 
0:0:4:602, 2988 
0:0:4:618, 2868 
0:0:4:634, 2715 
0:0:4:649, 2587 
0:0:4:664, 2523 
0:0:4:680, 2356 
0:0:4:696, 2246 
0:0:4:712, 2175 
0:0:4:728, 2139 
0:0:4:744, 2139 
0:0:4:760, 2150 
0:0:4:776, 2173 
0:0:4:792, 2182 
0:0:4:808, 2179 
0:0:4:824, 2158 
0:0:4:840, 2125 
0:0:4:856, 2056 
0:0:4:871, 1998 
0:0:4:886, 1954 
0:0:4:901, 1898 
0:0:4:916, 1809 
0:0:4:932, 1745 
0:0:4:948, 1680 
0:0:4:963, 1641 
0:0:4:979, 1595 
0:0:4:995, 1562 
0:0:5:11, 1532 
0:0:5:26, 1510 
0:0:5:41, 1475 
0:0:5:57, 1446 
0:0:5:73, 1423 
0:0:5:89, 1386 
0:0:5:105, 1371 
0:0:5:120, 1396 
0:0:5:135, 1525 
0:0:5:150, 1765 
0:0:5:166, 1916 
0:0:5:182, 2339 
0:0:5:198, 2638 
0:0:5:213, 2816 
0:0:5:228, 2990 
0:0:5:244, 3019 
0:0:5:260, 2974 
0:0:5:275, 2853 
0:0:5:290, 2748 
0:0:5:306, 2560 
0:0:5:322, 2417 
0:0:5:338, 2233 
0:0:5:353, 2109 
0:0:5:368, 2033 
0:0:5:384, 1967 
0:0:5:400, 1951 
0:0:5:415, 1961 
0:0:5:431, 2018 
0:0:5:447, 2061 
0:0:5:463, 2086 
0:0:5:479, 2096 
0:0:5:495, 2058 
0:0:5:511, 1986 
0:0:5:527, 1914 
0:0:5:542, 1855 
0:0:5:558, 1799 
0:0:5:573, 1752 
0:0:5:588, 1702 
0:0:5:603, 1648 
0:0:5:619, 1582 
0:0:5:635, 1541 
0:0:5:651, 1486 
0:0:5:667, 1457 
0:0:5:683, 1439 
0:0:5:699, 1420 
0:0:5:715, 1409 
0:0:5:731, 1386 
0:0:5:747, 1359 
0:0:5:763, 1378 
0:0:5:779, 1440 
0:0:5:795, 1693 
0:0:5:810, 2004 
0:0:5:825, 2344 
0:0:5:840, 2583 
0:0:5:855, 2844 
0:0:5:871, 3037 
0:0:5:887, 3060 
0:0:5:903, 3011 
0:0:5:919, 2905 
0:0:5:935, 2788 
0:0:5:951, 2597 
0:0:5:967, 2440 
