Time, Data
0:0:3:829, 1995 
0:0:3:845, 1980 
0:0:3:860, 1953 
0:0:3:875, 1930 
0:0:3:890, 1917 
0:0:3:906, 1911 
0:0:3:922, 1912 
0:0:3:937, 1917 
0:0:3:952, 1916 
0:0:3:967, 1902 
0:0:3:983, 1892 
0:0:3:999, 1889 
0:0:4:15, 1894 
0:0:4:30, 1889 
0:0:4:45, 1874 
0:0:4:60, 1862 
0:0:4:76, 1844 
0:0:4:92, 1838 
0:0:4:108, 1842 
0:0:4:123, 1843 
0:0:4:138, 1846 
0:0:4:153, 1855 
0:0:4:168, 1890 
0:0:4:184, 1943 
0:0:4:200, 2034 
0:0:4:216, 2151 
0:0:4:231, 2228 
0:0:4:247, 2284 
0:0:4:263, 2306 
0:0:4:279, 2304 
0:0:4:295, 2292 
0:0:4:311, 2280 
0:0:4:327, 2265 
0:0:4:343, 2251 
0:0:4:359, 2249 
0:0:4:375, 2263 
0:0:4:391, 2272 
0:0:4:406, 2257 
0:0:4:421, 2237 
0:0:4:437, 2209 
0:0:4:453, 2170 
0:0:4:469, 2150 
0:0:4:485, 2138 
0:0:4:501, 2137 
0:0:4:516, 2137 
0:0:4:532, 2132 
0:0:4:547, 2129 
0:0:4:562, 2126 
0:0:4:578, 2104 
0:0:4:594, 2078 
0:0:4:610, 2054 
0:0:4:625, 2024 
0:0:4:640, 1997 
0:0:4:655, 1971 
0:0:4:670, 1945 
0:0:4:686, 1916 
0:0:4:702, 1888 
0:0:4:717, 1873 
0:0:4:732, 1865 
0:0:4:748, 1862 
0:0:4:764, 1857 
0:0:4:780, 1839 
0:0:4:796, 1813 
0:0:4:812, 1802 
0:0:4:828, 1788 
0:0:4:844, 1777 
0:0:4:860, 1769 
0:0:4:875, 1761 
0:0:4:890, 1751 
0:0:4:905, 1736 
0:0:4:920, 1727 
0:0:4:936, 1725 
0:0:4:951, 1728 
0:0:4:967, 1754 
0:0:4:982, 1817 
0:0:4:997, 1908 
0:0:5:12, 2013 
0:0:5:28, 2125 
0:0:5:43, 2212 
0:0:5:59, 2267 
0:0:5:75, 2282 
0:0:5:91, 2280 
0:0:5:106, 2271 
0:0:5:122, 2250 
0:0:5:137, 2231 
0:0:5:153, 2233 
0:0:5:169, 2231 
0:0:5:185, 2240 
0:0:5:201, 2237 
0:0:5:217, 2210 
0:0:5:233, 2184 
0:0:5:248, 2151 
0:0:5:263, 2119 
0:0:5:278, 2093 
0:0:5:294, 2068 
0:0:5:310, 2058 
0:0:5:325, 2053 
0:0:5:340, 2061 
0:0:5:355, 2060 
0:0:5:371, 2059 
0:0:5:387, 2056 
0:0:5:403, 2032 
0:0:5:418, 2011 
0:0:5:434, 2004 
0:0:5:450, 1982 
0:0:5:466, 1950 
0:0:5:481, 1917 
0:0:5:496, 1898 
0:0:5:512, 1878 
0:0:5:528, 1867 
0:0:5:544, 1864 
0:0:5:560, 1869 
0:0:5:575, 1871 
0:0:5:590, 1866 
0:0:5:605, 1842 
0:0:5:621, 1808 
0:0:5:637, 1792 
0:0:5:652, 1780 
0:0:5:667, 1772 
0:0:5:683, 1772 
0:0:5:699, 1786 
0:0:5:715, 1801 
0:0:5:730, 1795 
0:0:5:746, 1786 
0:0:5:761, 1780 
0:0:5:777, 1772 
0:0:5:793, 1773 
0:0:5:808, 1807 
0:0:5:824, 1897 
0:0:5:840, 2004 
0:0:5:856, 2145 
0:0:5:872, 2234 
0:0:5:888, 2301 
0:0:5:904, 2320 
0:0:5:920, 2312 
0:0:5:936, 2286 
0:0:5:952, 2274 
0:0:5:967, 2279 
0:0:5:983, 2290 
0:0:5:999, 2309 
0:0:6:15, 2324 
0:0:6:30, 2338 
0:0:6:45, 2332 
0:0:6:60, 2328 
0:0:6:76, 2308 
0:0:6:92, 2283 
0:0:6:108, 2267 
0:0:6:123, 2252 
0:0:6:139, 2237 
0:0:6:155, 2220 
0:0:6:171, 2203 
0:0:6:187, 2189 
0:0:6:203, 2165 
0:0:6:219, 2137 
0:0:6:234, 2105 
0:0:6:250, 2073 
0:0:6:266, 2048 
0:0:6:281, 2021 
0:0:6:296, 2004 
0:0:6:312, 2004 
0:0:6:328, 2009 
0:0:6:344, 2016 
0:0:6:360, 2016 
0:0:6:376, 2010 
0:0:6:392, 2002 
0:0:6:408, 1978 
0:0:6:423, 1964 
0:0:6:439, 1962 
0:0:6:455, 1951 
0:0:6:471, 1943 
0:0:6:487, 1924 
0:0:6:502, 1902 
0:0:6:517, 1877 
0:0:6:532, 1845 
0:0:6:548, 1816 
0:0:6:564, 1806 
0:0:6:580, 1792 
0:0:6:595, 1782 
0:0:6:610, 1762 
0:0:6:623, 1742 
0:0:6:642, 1708 
0:0:6:658, 1705 
0:0:6:674, 1746 
0:0:6:689, 1863 
0:0:6:704, 1996 
0:0:6:720, 2126 
0:0:6:736, 2218 
0:0:6:751, 2294 
0:0:6:766, 2318 
0:0:6:781, 2315 
0:0:6:796, 2302 
0:0:6:811, 2292 
0:0:6:827, 2283 
0:0:6:842, 2283 
0:0:6:857, 2292 
0:0:6:873, 2318 
0:0:6:889, 2333 
0:0:6:905, 2342 
0:0:6:921, 2333 
0:0:6:937, 2312 
0:0:6:953, 2293 
0:0:6:969, 2269 
0:0:6:984, 2244 
0:0:6:999, 2222 
0:0:7:15, 2209 
0:0:7:31, 2192 
0:0:7:47, 2166 
0:0:7:63, 2129 
0:0:7:79, 2087 
0:0:7:95, 2029 
0:0:7:111, 2001 
0:0:7:126, 1978 
0:0:7:142, 1956 
0:0:7:158, 1943 
0:0:7:173, 1939 
0:0:7:189, 1939 
0:0:7:204, 1932 
0:0:7:219, 1925 
0:0:7:234, 1911 
0:0:7:250, 1897 
0:0:7:266, 1880 
0:0:7:282, 1861 
0:0:7:298, 1848 
0:0:7:314, 1838 
0:0:7:329, 1817 
0:0:7:345, 1794 
0:0:7:360, 1776 
0:0:7:376, 1748 
0:0:7:392, 1736 
0:0:7:408, 1729 
0:0:7:424, 1723 
0:0:7:440, 1722 
0:0:7:455, 1726 
0:0:7:470, 1710 
0:0:7:485, 1689 
0:0:7:500, 1668 
0:0:7:515, 1655 
0:0:7:530, 1673 
0:0:7:546, 1715 
0:0:7:562, 1817 
0:0:7:578, 1911 
0:0:7:593, 1989 
0:0:7:608, 2058 
0:0:7:624, 2098 
0:0:7:640, 2116 
0:0:7:656, 2131 
0:0:7:672, 2147 
0:0:7:687, 2156 
0:0:7:702, 2143 
0:0:7:717, 2116 
0:0:7:732, 2094 
0:0:7:747, 2071 
0:0:7:764, 2057 
0:0:7:779, 2047 
0:0:7:795, 2023 
0:0:7:812, 2001 
0:0:7:827, 1978 
0:0:7:843, 1957 
0:0:7:859, 1925 
0:0:7:875, 1907 
0:0:7:891, 1892 
0:0:7:907, 1899 
0:0:7:923, 1905 
0:0:7:938, 1911 
0:0:7:953, 1906 
0:0:7:968, 1888 
0:0:7:984, 1860 
0:0:8:0, 1840 
0:0:8:15, 1822 
0:0:8:31, 1809 
0:0:8:47, 1803 
0:0:8:62, 1796 
0:0:8:77, 1794 
0:0:8:92, 1788 
0:0:8:106, 1778 
0:0:8:122, 1764 
0:0:8:138, 1752 
0:0:8:153, 1733 
0:0:8:168, 1720 
0:0:8:183, 1710 
0:0:8:199, 1706 
0:0:8:215, 1711 
0:0:8:229, 1704 
0:0:8:245, 1693 
0:0:8:261, 1674 
0:0:8:277, 1654 
0:0:8:293, 1635 
0:0:8:309, 1626 
0:0:8:325, 1615 
0:0:8:341, 1605 
0:0:8:357, 1618 
0:0:8:373, 1652 
0:0:8:388, 1720 
0:0:8:403, 1788 
0:0:8:419, 1893 
0:0:8:435, 2021 
0:0:8:451, 2094 
0:0:8:467, 2137 
0:0:8:483, 2175 
0:0:8:499, 2187 
0:0:8:515, 2190 
0:0:8:531, 2183 
0:0:8:547, 2178 
0:0:8:563, 2173 
0:0:8:578, 2175 
0:0:8:594, 2180 
0:0:8:610, 2179 
0:0:8:625, 2172 
0:0:8:640, 2155 
0:0:8:655, 2129 
0:0:8:670, 2114 
0:0:8:685, 2111 
0:0:8:701, 2099 
0:0:8:717, 2081 
0:0:8:732, 2062 
0:0:8:748, 2022 
0:0:8:763, 1873 
0:0:8:779, 1720 
0:0:8:795, 1583 
0:0:8:811, 1475 
0:0:8:827, 1423 
0:0:8:843, 1387 
0:0:8:858, 1363 
0:0:8:873, 1352 
0:0:8:889, 1348 
0:0:8:904, 1351 
0:0:8:920, 1354 
0:0:8:936, 1364 
0:0:8:952, 1376 
0:0:8:968, 1371 
0:0:8:984, 1369 
0:0:9:0, 1365 
0:0:9:16, 1357 
0:0:9:31, 1363 
0:0:9:47, 1358 
0:0:9:63, 1360 
0:0:9:78, 1366 
0:0:9:93, 1373 
0:0:9:108, 1378 
0:0:9:123, 1381 
0:0:9:139, 1390 
0:0:9:155, 1410 
0:0:9:171, 1423 
0:0:9:187, 1434 
0:0:9:203, 1470 
0:0:9:219, 1538 
0:0:9:234, 1634 
0:0:9:249, 1721 
0:0:9:265, 1816 
0:0:9:281, 1894 
0:0:9:297, 1980 
0:0:9:313, 2010 
0:0:9:328, 2045 
0:0:9:343, 2056 
0:0:9:359, 2057 
0:0:9:375, 2050 
0:0:9:391, 2047 
0:0:9:406, 2053 
0:0:9:422, 2059 
0:0:9:438, 2068 
0:0:9:453, 2079 
0:0:9:468, 2090 
0:0:9:484, 2090 
0:0:9:499, 2086 
0:0:9:515, 2076 
0:0:9:531, 2043 
0:0:9:546, 2004 
0:0:9:561, 1964 
0:0:9:576, 1931 
0:0:9:591, 1905 
0:0:9:606, 1886 
0:0:9:622, 1870 
0:0:9:638, 1849 
0:0:9:654, 1839 
0:0:9:670, 1826 
0:0:9:686, 1810 
0:0:9:702, 1794 
0:0:9:718, 1781 
0:0:9:733, 1765 
0:0:9:749, 1755 
0:0:9:765, 1735 
0:0:9:781, 1718 
0:0:9:796, 1698 
0:0:9:811, 1680 
0:0:9:826, 1675 
0:0:9:841, 1667 
0:0:9:857, 1659 
0:0:9:873, 1659 
0:0:9:889, 1662 
0:0:9:904, 1669 
0:0:9:919, 1671 
0:0:9:935, 1663 
0:0:9:951, 1650 
0:0:9:967, 1641 
0:0:9:983, 1638 
0:0:9:999, 1654 
0:0:10:15, 1651 
0:0:10:30, 1647 
0:0:10:45, 1632 
